OID_,Aspect,Slope,Elevation,Mean,CV,Trend,Solar,Cover_1972,Cover_2008,1972B,1972T,1972S,1972O,1972C,2008T,2008S,2008B,2008O,2008C,Texpand,Sexpand,Bexpand,Oexpand,X,Y
3,321.06775,5.26611,3222.55591,0.10213167,0.787651639,0.004604895,25.59518,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,448961,4431587
1172,348.46411,6.17052,3223.46753,0.08712417,1.071702083,-0.001481154,25.12721,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,448990,4431606
766,237.34999,37.45042,3223.67969,0.08022667,1.103287083,0.007432867,26.11079,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450112,4431893
1486,157.55072,14.43476,3223.88501,0.06093167,1.249966106,-0.003585524,26.44132,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451824,4432503
453,318.63254,20.22882,3224.50293,0.2881225,0.81001547,-0.016389406,24.19327,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449479,4435712
144,111.25951,5.92335,3225.02026,0.17716583,0.858220543,-0.004915,25.49035,T,T,0,1,0,0,0,1,0,0,0,0,0,0,0,0,448932,4435667
197,214.09686,8.75472,3225.54834,0.05786417,1.244338965,-0.00398535,26.98868,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451757,4432486
752,313.17712,6.74796,3225.92896,0.09856083,1.288590759,0.017425699,25.79535,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450255,4431901
1045,337.09097,4.37533,3226.68164,0.13055917,0.701021863,0.007527378,25.51275,S,S,0,0,1,0,0,0,1,0,0,0,0,0,0,0,448802,4435563
1728,188.49431,11.08694,3226.96143,0.08263167,1.078649872,-0.001291748,27.14476,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452434,4432709
180,241.20618,6.87992,3227.4187,0.09401417,1.057592043,0.010127657,26.95182,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450306,4432050
478,185.07433,17.91525,3228.33984,0.0655925,1.291850745,-0.001170315,27.23672,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452565,4432779
320,40.81721,0.83184,3228.95068,0.0782725,1.226467692,0.005479965,26.04305,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450183,4431900
64,227.80544,7.34517,3229.23779,0.07794333,1.238239823,0.005409301,27.0528,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450021,4432119
567,161.72853,4.94553,3229.35181,0.1549825,0.811815972,-0.000473252,26.26581,T,T,0,1,0,0,0,1,0,0,0,0,0,0,0,0,448846,4435668
1669,2.9382,4.05238,3229.62427,0.19438333,0.728904257,-0.007247203,25.48066,T,T,0,1,0,0,0,1,0,0,0,0,0,0,0,0,448782,4435524
1094,37.42641,4.83334,3231.04785,0.37921417,0.831584713,-0.063127657,25.16977,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,448984,4435464
